epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,545.78,1.81058,2.53418,1.56598,0.64576,0.40807,0.48152,0.20352,1.86091,2.5551,1.46912,0.000470066,0.000470066,0.000470066
2,1204.1,1.71646,1.60088,1.48019,0.49658,0.52741,0.53632,0.27756,1.71814,1.52319,1.4553,0.00092766,0.00092766,0.00092766
3,1761.11,1.67796,1.50611,1.44318,0.4507,0.55014,0.53431,0.28362,1.64082,1.57298,1.37553,0.00136639,0.00136639,0.00136639
4,2292.48,1.62745,1.41054,1.40932,0.80561,0.38768,0.52108,0.27798,1.71404,1.55381,1.45355,0.00134412,0.00134412,0.00134412
5,2825.98,1.59669,1.37817,1.38996,0.69547,0.58316,0.65197,0.36467,1.60395,1.26263,1.36783,0.00131582,0.00131582,0.00131582
6,3359.54,1.57952,1.29309,1.36998,0.58929,0.57075,0.58302,0.26311,1.90328,1.41916,1.51941,0.00128753,0.00128753,0.00128753
7,3895.95,1.55995,1.24996,1.35381,0.59802,0.68789,0.65198,0.37835,1.50825,1.14854,1.29836,0.00125923,0.00125923,0.00125923
8,4475.93,1.55953,1.19653,1.34717,0.5214,0.56787,0.57411,0.32253,1.58669,1.19679,1.31604,0.00123094,0.00123094,0.00123094
9,5041.56,1.5201,1.1779,1.33108,0.63481,0.52899,0.61301,0.35959,1.51342,1.15967,1.28632,0.00120265,0.00120265,0.00120265
10,5564.69,1.50809,1.13072,1.32202,0.60195,0.65249,0.62732,0.36342,1.58662,1.37219,1.34096,0.00117435,0.00117435,0.00117435
11,6093.47,1.49914,1.10018,1.3224,0.51299,0.60329,0.56257,0.33061,1.57837,1.68314,1.36146,0.00114606,0.00114606,0.00114606
12,6628.31,1.4819,1.08354,1.30994,0.62231,0.65166,0.60957,0.35448,1.51825,1.13825,1.27644,0.00111776,0.00111776,0.00111776
13,7223.51,1.48447,1.07111,1.30594,0.6064,0.58357,0.61793,0.3579,1.5152,0.98323,1.28066,0.00108947,0.00108947,0.00108947
14,7846.37,1.46385,1.03889,1.29815,0.64823,0.69025,0.65094,0.38041,1.54696,1.07413,1.30984,0.00106118,0.00106118,0.00106118
15,8420.81,1.45905,1.03629,1.29327,0.68725,0.67519,0.66704,0.37689,1.55105,1.06728,1.32324,0.00103288,0.00103288,0.00103288
16,8956.09,1.45287,1.00531,1.29041,0.64673,0.68413,0.63057,0.37637,1.43375,1.17529,1.24124,0.00100459,0.00100459,0.00100459
17,9547.95,1.42306,0.9965,1.28014,0.62631,0.64031,0.62317,0.37411,1.51784,1.33546,1.28316,0.000976293,0.000976293,0.000976293
18,10135.6,1.42293,0.96726,1.27619,0.54391,0.53439,0.59817,0.34789,1.5177,1.01031,1.2982,0.000947999,0.000947999,0.000947999
19,10718.9,1.4164,0.9659,1.27024,0.49544,0.68202,0.60556,0.3582,1.49385,1.16449,1.28352,0.000919704,0.000919704,0.000919704
20,11262.6,1.39623,0.93282,1.26643,0.5392,0.55647,0.60452,0.35542,1.49691,0.96328,1.28723,0.00089141,0.00089141,0.00089141
21,11793.3,1.38867,0.92216,1.25919,0.70555,0.62906,0.65036,0.38876,1.48556,0.93164,1.28569,0.000863116,0.000863116,0.000863116
22,12379.4,1.38365,0.9049,1.24977,0.57308,0.60013,0.58489,0.34119,1.52092,1.26416,1.29139,0.000834822,0.000834822,0.000834822
23,12960.1,1.3883,0.90015,1.25638,0.5863,0.65599,0.6187,0.36739,1.49863,0.96406,1.28077,0.000806528,0.000806528,0.000806528
24,13548,1.3653,0.87095,1.2361,0.55199,0.54234,0.57174,0.3368,1.49928,1.06504,1.28588,0.000778233,0.000778233,0.000778233
25,14142.7,1.35574,0.86149,1.23129,0.51644,0.67231,0.62481,0.36775,1.54351,1.13054,1.28752,0.000749939,0.000749939,0.000749939
26,14738.4,1.3422,0.849,1.22659,0.57686,0.59841,0.56765,0.33359,1.48542,1.1498,1.26466,0.000721645,0.000721645,0.000721645
27,15504.7,1.32942,0.84252,1.21903,0.56542,0.60977,0.55438,0.32259,1.53298,1.79694,1.29264,0.000693351,0.000693351,0.000693351
28,16243,1.33023,0.83605,1.2204,0.67554,0.63588,0.6733,0.41422,1.47236,0.89193,1.25798,0.000665057,0.000665057,0.000665057
29,16937,1.31642,0.83235,1.21922,0.59122,0.64448,0.6027,0.36555,1.45775,1.19701,1.26751,0.000636762,0.000636762,0.000636762
30,17635.7,1.30213,0.80809,1.21094,0.73022,0.70035,0.70037,0.41666,1.48136,0.98581,1.26214,0.000608468,0.000608468,0.000608468
31,18333.9,1.30717,0.79819,1.20535,0.6096,0.57998,0.56539,0.33814,1.46548,1.20454,1.26212,0.000580174,0.000580174,0.000580174
32,19035.4,1.29562,0.79272,1.19657,0.59772,0.69429,0.61975,0.35633,1.53132,1.08326,1.30729,0.00055188,0.00055188,0.00055188
33,19742.1,1.27472,0.77344,1.18983,0.65166,0.66274,0.6578,0.39775,1.48643,1.08691,1.26788,0.000523586,0.000523586,0.000523586
34,20441.7,1.27275,0.77616,1.19089,0.60035,0.62087,0.61933,0.3748,1.48364,1.30735,1.27761,0.000495291,0.000495291,0.000495291
35,21135.4,1.2659,0.76752,1.19153,0.64711,0.62734,0.58538,0.35377,1.48709,1.16043,1.27295,0.000466997,0.000466997,0.000466997
36,21833,1.26359,0.75023,1.18205,0.57685,0.59233,0.55609,0.33228,1.50347,1.17787,1.27388,0.000438703,0.000438703,0.000438703
37,22529.3,1.25373,0.74791,1.17773,0.61648,0.6552,0.60015,0.35874,1.47588,1.16541,1.26333,0.000410409,0.000410409,0.000410409
38,23233.3,1.24125,0.7371,1.17137,0.56799,0.66166,0.57409,0.34348,1.49673,1.42463,1.26619,0.000382115,0.000382115,0.000382115
39,23931.8,1.22452,0.72512,1.1657,0.55882,0.62552,0.53765,0.32532,1.47914,1.41546,1.27641,0.00035382,0.00035382,0.00035382
40,24633.9,1.21972,0.71208,1.16158,0.57126,0.48636,0.56957,0.32501,1.54432,1.10982,1.29921,0.000325526,0.000325526,0.000325526
41,25312.2,1.22263,0.68709,1.17163,0.65332,0.65027,0.63537,0.3839,1.50291,1.15198,1.27899,0.000297232,0.000297232,0.000297232
42,25992.3,1.19263,0.65127,1.14689,0.60018,0.65078,0.58173,0.34595,1.50265,1.15284,1.28781,0.000268938,0.000268938,0.000268938
43,26675.2,1.16,0.62914,1.12461,0.69851,0.69064,0.67758,0.41432,1.48269,0.92137,1.26936,0.000240644,0.000240644,0.000240644
44,27353.5,1.15843,0.62287,1.12525,0.5884,0.67031,0.58786,0.33986,1.54552,1.27474,1.31007,0.000212349,0.000212349,0.000212349
45,28034.8,1.13201,0.6047,1.1183,0.66265,0.64002,0.58089,0.35087,1.49507,1.16904,1.27579,0.000184055,0.000184055,0.000184055
46,28717,1.1224,0.59381,1.10767,0.61378,0.60858,0.58036,0.34853,1.49375,1.14633,1.27944,0.000155761,0.000155761,0.000155761
47,29403.9,1.11147,0.58848,1.10535,0.66037,0.64244,0.60881,0.36474,1.5156,1.15903,1.29457,0.000127467,0.000127467,0.000127467
48,30085.9,1.10812,0.58908,1.10871,0.61274,0.66308,0.6045,0.36415,1.50273,1.1104,1.28589,9.91726e-05,9.91726e-05,9.91726e-05
49,30768.5,1.10022,0.58847,1.10028,0.61948,0.62505,0.59623,0.35425,1.50133,1.14538,1.28882,7.08784e-05,7.08784e-05,7.08784e-05
50,31452.8,1.08543,0.5721,1.09063,0.64238,0.63197,0.59527,0.35256,1.50371,1.19128,1.28987,4.25842e-05,4.25842e-05,4.25842e-05
